Time,FR007:1Y,FR007:2Y,FR007:3Y,FR007:5Y,FR007:7Y,FR007:10Y,国债:1Y,国债:2Y,国债:3Y,国债:5Y,国债:7Y,国债:10Y,国开:1Y,国开:2Y,国开:3Y,国开:5Y,国开:7Y,国开:10Y,口行:1Y,口行:2Y,口行:3Y,口行:5Y,口行:7Y,口行:10Y
2012-06-25,2.671,2.6619,2.7279,2.8726,2.9585,3.0145,2.3666,2.4212,2.6384,2.9961,3.1902,3.3677,2.9039,3.2512,3.5351,3.8024,4.0116,4.1477,2.8458,3.1479,3.4138,3.6372,3.8647,4.0391
2012-06-26,2.6523,2.655,2.7179,2.8492,2.9402,2.9954,2.3616,2.4078,2.602,2.9631,3.1602,3.3653,2.924,3.262,3.5207,3.8055,4.0316,4.1177,2.8382,3.1481,3.3889,3.6102,3.8621,4.0291
2012-06-27,2.6324,2.6318,2.6939,2.8388,2.9423,2.992,2.3716,2.3828,2.5523,2.92,3.1222,3.3252,2.9443,3.253,3.5021,3.7921,4.0368,4.1019,2.8406,3.1486,3.3603,3.6035,3.846,4.0119
2012-06-28,2.5894,2.5838,2.6507,2.7951,2.8993,2.9614,2.3566,2.3583,2.5277,2.8981,3.1221,3.3253,2.9447,3.234,3.4821,3.7772,4.0397,4.0819,2.8252,3.1401,3.3303,3.5886,3.8447,3.9919
2012-06-29,2.5873,2.5865,2.6454,2.7938,2.9017,2.9683,2.342,2.3509,2.5235,2.9143,3.1039,3.3253,2.9312,3.2352,3.4531,3.7501,4.0329,4.0815,2.8274,3.1299,3.3313,3.5814,3.8383,3.9851
2012-07-02,2.6239,2.6274,2.697,2.8414,2.9238,2.999,2.347,2.3495,2.5474,2.9393,3.115,3.3353,2.9407,3.2374,3.4496,3.7499,4.0453,4.0703,2.8375,3.1231,3.3478,3.6012,3.8451,3.9751
2012-07-03,2.5841,2.5853,2.655,2.8005,2.896,2.9531,2.3452,2.3465,2.5729,2.9173,3.1113,3.3204,2.941,3.2307,3.4606,3.745,4.0056,4.0603,2.8378,3.1364,3.3588,3.599,3.8554,3.9651
2012-07-04,2.5741,2.5724,2.6395,2.788,2.8833,2.9483,2.3252,2.3424,2.5491,2.9204,3.1005,3.3195,2.9378,3.2232,3.4406,3.7401,3.9917,4.0689,2.841,3.1353,3.3488,3.5821,3.8413,3.9737
2012-07-05,2.5614,2.5652,2.6455,2.7948,2.8852,2.9516,2.3129,2.3354,2.5305,2.9035,3.0964,3.3193,2.9379,3.2232,3.4406,3.7452,3.997,4.0814,2.8363,3.1172,3.3388,3.5935,3.8464,3.9825
2012-07-06,2.4631,2.4777,2.5608,2.7113,2.8194,2.8644,2.2525,2.2683,2.4879,2.8499,3.0663,3.296,2.849,3.1784,3.3636,3.7243,3.9534,4.0204,2.7817,3.0956,3.3061,3.5487,3.7956,3.9314
2012-07-09,2.4368,2.4529,2.5308,2.6801,2.7895,2.8399,2.1979,2.2553,2.4749,2.8256,3.036,3.2709,2.8254,3.1632,3.3636,3.7342,3.9474,4.0126,2.7676,3.0956,3.2857,3.5289,3.796,3.9314
