times,future,Au_TD,diff,ytm
20:00,,384.98,,
20:01,,384.81,,
20:02,,385.0,,
20:03,,384.8,,
20:04,,384.6,,
20:05,,384.84,,
20:06,,384.84,,
20:07,,384.68,,
20:08,,384.75,,
20:09,,384.75,,
20:10,,384.7,,
20:11,,384.6,,
20:12,,384.35,,
20:13,,384.35,,
20:14,,384.37,,
20:15,,384.15,,
20:16,,384.25,,
20:17,,384.21,,
20:18,,384.4,,
20:19,,384.35,,
20:20,,384.35,,
20:21,,384.49,,
20:22,,384.49,,
20:23,,384.4,,
20:24,,384.5,,
20:25,,384.5,,
20:26,,384.5,,
20:27,,384.55,,
20:28,,384.55,,
20:29,,384.38,,
20:30,,384.31,,
20:31,,384.3,,
20:32,,384.22,,
20:33,,384.29,,
20:34,,384.31,,
20:35,,384.26,,
20:36,,384.4,,
20:37,,384.2,,
20:38,,384.28,,
20:39,,384.15,,
20:40,,384.16,,
20:41,,384.16,,
20:42,,384.13,,
20:43,,384.13,,
20:44,,384.13,,
20:45,,384.2,,
20:46,,383.9,,
20:47,,383.71,,
20:48,,383.9,,
20:49,,383.99,,
20:50,,383.88,,
20:51,,383.9,,
20:52,,384.09,,
20:53,,383.84,,
20:54,,383.95,,
20:55,,383.95,,
20:56,,383.86,,
20:57,,383.98,,
20:58,,383.91,,
20:59,,383.99,,
21:00,386.72,383.91,2.81,1.817408
21:01,386.68,383.85,2.83,1.830629
21:02,386.76,383.86,2.9,1.875861
21:03,386.84,384.03,2.81,1.81684
21:04,386.62,383.76,2.86,1.850469
21:05,386.7,383.82,2.88,1.863118
21:06,386.7,383.81,2.89,1.869636
21:07,386.66,383.88,2.78,1.798146
21:08,385.68,383.01,2.67,1.730919
21:09,385.68,382.95,2.73,1.770093
21:10,385.4,382.68,2.72,1.764854
21:11,385.56,382.89,2.67,1.731461
21:12,385.8,382.95,2.85,1.847899
21:13,385.78,383.07,2.71,1.756575
21:14,385.82,383.06,2.76,1.789031
21:15,385.92,383.23,2.69,1.742883
21:16,385.96,383.1,2.86,1.853657
21:17,385.9,383.1,2.8,1.814769
21:18,386.06,383.32,2.74,1.774862
21:19,386.2,383.39,2.81,1.819873
21:20,386.02,383.23,2.79,1.807675
21:21,386.0,383.25,2.75,1.781665
21:22,385.92,383.19,2.73,1.768984
21:23,386.16,383.35,2.81,1.820063
21:24,386.38,383.5,2.88,1.864673
21:25,386.28,383.5,2.78,1.799927
21:26,386.26,383.5,2.76,1.786978
21:27,386.2,383.37,2.83,1.832921
21:28,386.28,383.42,2.86,1.85211
21:29,386.18,383.42,2.76,1.787351
21:30,386.08,383.25,2.83,1.833495
21:31,386.22,383.42,2.8,1.813255
21:32,386.14,383.4,2.74,1.774492
21:33,386.14,383.35,2.79,1.807109
21:34,386.3,383.4,2.9,1.878112
