,future,Au_TD,diff,ytm
20:00,,399.0,,
20:01,,398.78,,
20:02,,398.72,,
20:03,,398.81,,
20:04,,398.81,,
20:05,,398.88,,
20:06,,398.91,,
20:07,,398.9,,
20:08,,398.85,,
20:09,,399.0,,
20:10,,399.07,,
20:11,,399.1,,
20:12,,399.13,,
20:13,,399.11,,
20:14,,399.08,,
20:15,,399.0,,
20:16,,399.1,,
20:17,,399.11,,
20:18,,399.05,,
20:19,,399.15,,
20:20,,399.12,,
20:21,,399.15,,
20:22,,399.12,,
20:23,,399.1,,
20:24,,399.18,,
20:25,,399.13,,
20:26,,399.12,,
20:27,,399.13,,
20:28,,399.0,,
20:29,,399.05,,
20:30,,399.04,,
20:31,,399.0,,
20:32,,398.93,,
20:33,,398.85,,
20:34,,398.81,,
20:35,,398.91,,
20:36,,399.03,,
20:37,,398.95,,
20:38,,398.88,,
20:39,,398.82,,
20:40,,398.73,,
20:41,,398.75,,
20:42,,398.75,,
20:43,,398.75,,
20:44,,398.75,,
20:45,,398.65,,
20:46,,398.58,,
20:47,,398.45,,
20:48,,398.43,,
20:49,,398.44,,
20:50,,398.44,,
20:51,,398.53,,
20:52,,398.7,,
20:53,,398.61,,
20:54,,398.69,,
20:55,,398.54,,
20:56,,398.6,,
20:57,,398.56,,
20:58,,398.48,,
20:59,,398.62,,
21:00,404.5,399.0,5.5,3.105758
21:01,404.62,399.11,5.51,3.110548
21:02,404.32,398.82,5.5,3.10716
21:03,404.4,398.92,5.48,3.095085
21:04,404.34,398.93,5.41,3.055473
21:05,404.22,398.8,5.42,3.062118
21:06,404.3,398.89,5.41,3.055779
21:07,404.5,399.01,5.49,3.100034
21:08,404.34,398.85,5.49,3.101277
21:09,404.42,398.92,5.5,3.106381
21:10,404.58,399.1,5.48,3.093689
21:11,404.58,399.19,5.39,3.042194
21:12,404.7,399.18,5.52,3.115646
21:13,404.92,399.44,5.48,3.091056
21:14,404.78,399.4,5.38,3.034954
21:15,404.96,399.5,5.46,3.079312
21:16,404.94,399.4,5.54,3.125213
21:17,405.16,399.7,5.46,3.077771
21:18,405.2,399.8,5.4,3.043188
21:19,405.4,400.0,5.4,3.041667
21:20,405.42,399.9,5.52,3.110037
21:21,405.58,400.07,5.51,3.103084
21:22,405.62,400.07,5.55,3.12561
21:23,405.48,399.91,5.57,3.138129
21:24,405.36,399.78,5.58,3.144785
21:25,405.22,399.79,5.43,3.060171
21:26,405.34,399.8,5.54,3.122086
21:27,405.4,399.87,5.53,3.115905
21:28,405.48,400.0,5.48,3.086728
21:29,405.44,399.87,5.57,3.138443
21:30,405.74,400.15,5.59,3.147508
21:31,405.78,400.24,5.54,3.118653
21:32,405.7,400.25,5.45,3.067913
21:33,405.98,,,
21:34,405.9,400.31,5.59,3.14625
21:35,405.9,400.41,5.49,3.089195
21:36,406.06,400.51,5.55,3.122177
21:37,406.2,400.65,5.55,3.121086
21:38,406.42,400.88,5.54,3.113675
21:39,406.56,400.99,5.57,3.129677
21:40,406.34,400.75,5.59,3.142796
21:41,406.24,400.71,5.53,3.109373
21:42,406.24,400.73,5.51,3.097973
21:43,406.2,400.58,5.62,3.161003
21:44,406.18,400.71,5.47,3.075636
21:45,406.28,400.83,5.45,3.063474
21:46,406.14,400.61,5.53,3.110149
21:47,406.08,400.53,5.55,3.122021
21:48,405.94,400.52,5.42,3.048968
21:49,406.0,400.49,5.51,3.099829
21:50,406.16,400.65,5.51,3.098591
21:51,406.24,400.8,5.44,3.058081
21:52,406.28,400.8,5.48,3.080567
21:53,406.26,400.83,5.43,3.052231
21:54,405.96,400.64,5.32,2.991818
21:55,406.0,400.67,5.33,2.997217
21:56,406.12,400.68,5.44,3.058997
21:57,405.88,,,
21:58,406.02,,,
21:59,405.92,,,
22:00,405.9,400.48,5.42,3.049273
22:01,405.82,400.32,5.5,3.095517
22:02,405.56,400.1,5.46,3.074694
22:03,405.72,400.27,5.45,3.06776
22:04,405.52,400.14,5.38,3.029341
22:05,405.84,400.3,5.54,3.118186
22:06,405.98,400.51,5.47,3.077172
22:07,405.94,400.45,5.49,3.088886
22:08,405.94,400.61,5.33,2.997666
22:09,405.9,400.46,5.44,3.060678
22:10,405.88,400.46,5.42,3.049425
22:11,406.06,400.6,5.46,3.070857
22:12,406.0,,,
22:13,406.02,400.51,5.51,3.099674
22:14,406.1,400.6,5.5,3.093354
22:15,405.9,400.51,5.39,3.032168
22:16,405.54,400.02,5.52,3.109104
22:17,405.78,400.3,5.48,3.084415
22:18,406.0,400.48,5.52,3.105533
22:19,405.78,400.35,5.43,3.055891
22:20,405.9,400.32,5.58,3.140543
22:21,405.88,400.37,5.51,3.100758
22:22,406.1,400.6,5.5,3.093354
22:23,406.26,400.77,5.49,3.08642
22:24,406.16,400.69,5.47,3.07579
22:25,405.88,,,
22:26,405.74,400.3,5.44,3.061901
22:27,405.9,400.43,5.47,3.077787
22:28,405.8,400.35,5.45,3.067146
22:29,405.82,400.34,5.48,3.084107
22:30,405.66,400.18,5.48,3.08534
22:31,405.6,400.15,5.45,3.068679
22:32,405.56,400.19,5.37,3.023332
22:33,405.68,400.09,5.59,3.14798
22:34,405.54,400.03,5.51,3.103394
22:35,405.44,400.01,5.43,3.058488
22:36,405.32,399.69,5.63,3.173679
22:37,405.38,399.94,5.44,3.064657
22:38,405.7,400.3,5.4,3.039387
22:39,405.8,400.38,5.42,3.050035
22:40,405.84,400.4,5.44,3.061136
22:41,405.9,,,
22:42,406.4,400.88,5.52,3.102434
22:43,406.12,400.72,5.4,3.036202
22:44,406.08,400.69,5.39,3.030806
22:45,406.06,400.69,5.37,3.01956
22:46,406.04,400.56,5.48,3.082413
22:47,405.96,400.55,5.41,3.043115
22:48,406.08,400.69,5.39,3.030806
22:49,406.18,400.75,5.43,3.052841
22:50,406.34,400.85,5.49,3.085804
22:51,406.16,400.78,5.38,3.024503
