times,future,Au_TD,diff,ytm
20:00,,389.12,,
20:01,,389.12,,
20:02,,389.18,,
20:03,,389.17,,
20:04,,389.31,,
20:05,,389.44,,
20:06,,389.3,,
20:07,,389.27,,
20:08,,389.21,,
20:09,,389.1,,
20:10,,389.25,,
20:11,,389.25,,
20:12,,389.25,,
20:13,,389.19,,
20:14,,389.12,,
20:15,,389.01,,
20:16,,389.12,,
20:17,,389.0,,
20:18,,389.0,,
20:19,,388.88,,
20:20,,389.0,,
20:21,,389.0,,
20:22,,389.0,,
20:23,,389.12,,
20:24,,389.12,,
20:25,,389.0,,
20:26,,389.01,,
20:27,,389.01,,
20:28,,389.01,,
20:29,,389.15,,
20:30,,389.15,,
20:31,,389.12,,
20:32,,389.2,,
20:33,,389.15,,
20:34,,389.15,,
20:35,,389.2,,
20:36,,389.24,,
20:37,,389.24,,
20:38,,389.14,,
20:39,,389.2,,
20:40,,389.2,,
20:41,,389.2,,
20:42,,389.15,,
20:43,,389.12,,
20:44,,389.05,,
20:45,,389.18,,
20:46,,389.18,,
20:47,,389.2,,
20:48,,389.24,,
20:49,,389.15,,
20:50,,389.1,,
20:51,,389.07,,
20:52,,388.61,,
20:53,,388.71,,
20:54,,388.67,,
20:55,,388.67,,
20:56,,388.5,,
20:57,,388.22,,
20:58,,388.31,,
20:59,,388.43,,
21:00,391.24,388.2,3.04,1.971255
21:01,390.84,387.83,3.01,1.953664
21:02,391.5,388.49,3.01,1.950345
21:03,391.72,388.69,3.03,1.962294
21:04,391.44,388.27,3.17,2.055182
21:05,391.64,388.6,3.04,1.969226
21:06,391.7,388.72,2.98,1.929764
21:07,391.72,388.65,3.07,1.988404
21:08,391.68,388.7,2.98,1.929863
21:09,391.62,388.64,2.98,1.930161
21:10,391.68,388.7,2.98,1.929863
21:11,391.8,388.76,3.04,1.968416
21:12,391.94,388.88,3.06,1.980755
21:13,391.58,388.51,3.07,1.98912
21:14,391.42,388.37,3.05,1.976874
21:15,391.3,388.3,3.0,1.944817
21:16,391.36,388.32,3.04,1.970646
21:17,391.54,388.5,3.04,1.969733
21:18,391.42,388.5,2.92,1.891981
21:19,391.62,388.7,2.92,1.891007
21:20,391.24,388.48,2.76,1.788403
21:21,391.44,388.4,3.04,1.97024
21:22,391.42,388.45,2.97,1.924625
21:23,391.46,388.48,2.98,1.930956
21:24,391.6,388.6,3.0,1.943316
21:25,391.84,388.8,3.04,1.968213
21:26,391.74,388.7,3.04,1.96872
21:27,391.68,388.7,2.98,1.929863
21:28,391.66,388.58,3.08,1.99524
21:29,391.6,388.7,2.9,1.878055
21:30,391.32,388.3,3.02,1.957782
21:31,391.2,388.2,3.0,1.945318
21:32,391.38,388.3,3.08,1.996679
21:33,391.42,388.49,2.93,1.898509
21:34,391.38,388.5,2.88,1.866063
21:35,391.58,388.5,3.08,1.995651
21:36,391.46,388.5,2.96,1.917898
21:37,391.42,388.37,3.05,1.976874
21:38,391.28,388.3,2.98,1.931851
21:39,391.5,388.3,3.2,2.074471
21:40,391.5,388.5,3.0,1.943816
21:41,391.5,388.58,2.92,1.891591
21:42,391.5,388.58,2.92,1.891591
21:43,391.38,388.41,2.97,1.924823
21:44,391.14,388.25,2.89,1.873748
21:45,391.32,388.23,3.09,2.003523
21:46,391.2,388.37,2.83,1.83428
21:47,390.8,387.88,2.92,1.895005
21:48,390.78,387.87,2.91,1.888564
21:49,390.82,387.9,2.92,1.894907
21:50,390.84,387.9,2.94,1.907886
21:51,390.66,387.65,3.01,1.954572
