times,future,Au_TD,diff,ytm
21:52,390.36,387.37,2.99,1.942988
21:53,390.18,387.28,2.9,1.884941
21:54,389.86,386.87,2.99,1.945499
21:55,390.34,387.45,2.89,1.877617
21:56,390.26,387.33,2.93,1.904195
21:57,390.3,387.41,2.89,1.877811
21:58,390.28,387.38,2.9,1.884455
21:59,389.98,387.06,2.92,1.899019
22:00,390.1,387.09,3.01,1.957399
22:01,389.84,386.91,2.93,1.906262
22:02,389.6,386.69,2.91,1.894327
22:03,389.96,387.0,2.96,1.925332
22:04,390.14,387.23,2.91,1.891685
22:05,390.02,387.09,2.93,1.905375
22:06,389.98,387.09,2.89,1.879363
22:07,390.14,387.27,2.87,1.86549
22:08,390.3,387.45,2.85,1.851629
22:09,390.54,387.6,2.94,1.909363
22:10,390.4,387.53,2.87,1.864238
22:11,390.38,387.44,2.94,1.910151
22:12,390.62,387.75,2.87,1.863181
22:13,390.64,387.52,3.12,2.026681
22:14,390.7,387.8,2.9,1.882414
22:15,390.8,387.78,3.02,1.960408
22:16,390.72,387.85,2.87,1.8627
22:17,390.7,387.74,2.96,1.921657
22:18,390.78,387.84,2.94,1.908181
22:19,390.82,387.89,2.93,1.901446
22:20,390.8,387.73,3.07,1.993122
22:21,390.76,387.8,2.96,1.92136
22:22,391.04,388.04,3.0,1.94612
22:23,391.04,388.12,2.92,1.893833
22:24,391.06,388.14,2.92,1.893735
22:25,391.3,388.38,2.92,1.892565
22:26,391.22,388.3,2.92,1.892955
22:27,391.06,388.02,3.04,1.97217
22:28,391.06,388.17,2.89,1.874134
22:29,391.18,388.3,2.88,1.867024
22:30,391.02,388.17,2.85,1.848195
22:31,390.92,388.1,2.82,1.82907
22:32,390.72,387.8,2.92,1.895396
22:33,390.76,387.8,2.96,1.92136
22:34,391.1,388.15,2.95,1.913142
22:35,391.04,388.15,2.89,1.874231
22:36,390.92,388.0,2.92,1.894419
22:37,390.68,387.7,2.98,1.934841
22:38,390.86,387.9,2.96,1.920865
22:39,390.7,387.8,2.9,1.882414
22:40,390.78,387.85,2.93,1.901642
22:41,390.86,388.0,2.86,1.855492
22:42,390.88,387.85,3.03,1.966544
22:43,390.9,388.0,2.9,1.881443
22:44,390.8,387.93,2.87,1.862316
22:45,390.54,387.51,3.03,1.96827
22:46,390.3,387.4,2.9,1.884357
22:47,390.44,387.44,3.0,1.949134
22:48,390.48,387.43,3.05,1.981671
22:49,390.5,387.7,2.8,1.817972
22:50,390.46,387.55,2.91,1.890123
22:51,390.44,387.5,2.94,1.909855
22:52,390.22,387.4,2.82,1.832375
22:53,390.48,387.69,2.79,1.811526
22:54,390.56,387.55,3.01,1.955076
22:55,390.42,387.5,2.92,1.896863
22:56,390.48,387.64,2.84,1.844228
22:57,390.6,387.65,2.95,1.91561
22:58,390.74,387.85,2.89,1.875681
22:59,390.68,387.85,2.83,1.836739
23:00,390.48,387.52,2.96,1.922748
23:01,390.34,387.4,2.94,1.910348
23:02,390.26,387.29,2.97,1.93039
23:03,390.32,387.3,3.02,1.962837
23:04,390.3,387.35,2.95,1.917094
23:05,390.32,387.3,3.02,1.962837
23:06,390.34,387.46,2.88,1.871072
23:07,390.36,387.51,2.85,1.851343
23:08,390.48,387.55,2.93,1.903114
23:09,390.64,387.59,3.05,1.980853
23:10,390.88,387.93,2.95,1.914227
23:11,390.92,387.91,3.01,1.953261
23:12,390.9,387.91,2.99,1.940283
23:13,391.02,388.0,3.02,1.959296
23:14,390.86,388.0,2.86,1.855492
23:15,391.02,388.05,2.97,1.926609
23:16,391.0,388.09,2.91,1.887493
23:17,390.92,388.09,2.83,1.835603
23:18,391.02,388.09,2.93,1.900466
23:19,390.9,388.09,2.81,1.822631
23:20,390.72,387.84,2.88,1.869239
23:21,390.84,387.84,3.0,1.947124
23:22,390.92,388.0,2.92,1.894419
23:23,390.98,387.88,3.1,2.01182
23:24,391.02,387.96,3.06,1.985452
23:25,390.9,387.96,2.94,1.907591
23:26,390.92,387.96,2.96,1.920568
23:27,390.86,387.96,2.9,1.881637
23:28,390.88,387.96,2.92,1.894614
23:29,390.78,387.96,2.82,1.82973
23:30,390.68,387.6,3.08,2.000285
23:31,390.7,387.9,2.8,1.817034
23:32,390.72,387.9,2.82,1.830013
23:33,390.68,387.88,2.8,1.817128
23:34,390.58,387.55,3.03,1.968066
23:35,390.66,387.55,3.11,2.020029
23:36,390.7,387.55,3.15,2.04601
23:37,390.72,387.67,3.05,1.980444
23:38,390.68,387.8,2.88,1.869431
23:39,390.76,387.84,2.92,1.8952
23:40,390.82,387.85,2.97,1.927603
23:41,390.72,387.9,2.82,1.830013
23:42,390.74,387.9,2.84,1.842992
23:43,390.78,387.95,2.83,1.836266
23:44,390.9,388.0,2.9,1.881443
23:45,390.84,387.91,2.93,1.901348
23:46,390.8,387.85,2.95,1.914622
23:47,390.72,387.85,2.87,1.8627
23:48,390.68,387.85,2.83,1.836739
23:49,390.76,387.85,2.91,1.888661
23:50,390.78,387.85,2.93,1.901642
23:51,390.72,387.85,2.87,1.8627
23:52,390.7,387.85,2.85,1.84972
23:53,390.56,387.85,2.71,1.758856
23:54,390.56,387.6,2.96,1.922352
23:55,390.4,387.5,2.9,1.883871
23:56,390.4,387.5,2.9,1.883871
23:57,390.4,387.5,2.9,1.883871
23:58,390.52,387.6,2.92,1.896374
23:59,390.56,387.8,2.76,1.791538
00:00,390.62,387.6,3.02,1.961318
00:01,390.5,387.6,2.9,1.883385
00:02,390.62,387.55,3.07,1.994047
00:03,390.6,387.55,3.05,1.981057
00:04,390.54,387.55,2.99,1.942085
00:05,390.44,387.55,2.89,1.877133
00:06,390.46,387.55,2.91,1.890123
00:07,390.38,387.5,2.88,1.870879
00:08,390.48,387.5,2.98,1.93584
00:09,390.5,387.5,3.0,1.948832
00:10,390.4,387.5,2.9,1.883871
00:11,390.3,387.43,2.87,1.864719
00:12,390.52,387.43,3.09,2.00766
00:13,390.52,387.6,2.92,1.896374
00:14,390.5,387.6,2.9,1.883385
00:15,390.52,387.4,3.12,2.027308
00:16,390.66,387.4,3.26,2.118277
00:17,390.7,387.73,2.97,1.928199
00:18,390.72,387.73,2.99,1.941184
00:19,390.64,387.73,2.91,1.889246
00:20,390.62,387.73,2.89,1.876261
00:21,390.64,387.75,2.89,1.876164
00:22,390.66,387.75,2.91,1.889148
00:23,390.66,387.75,2.91,1.889148
00:24,390.62,387.78,2.84,1.843562
00:25,390.64,387.73,2.91,1.889246
00:26,390.64,387.73,2.91,1.889246
00:27,390.62,387.73,2.89,1.876261
00:28,390.58,387.73,2.85,1.850292
00:29,390.66,387.73,2.93,1.90223
00:30,390.68,387.73,2.95,1.915215
00:31,390.4,387.5,2.9,1.883871
00:32,390.52,387.53,2.99,1.942186
00:33,390.5,387.7,2.8,1.817972
00:34,390.48,387.6,2.88,1.870396
00:35,390.36,387.53,2.83,1.838256
00:36,390.26,387.4,2.86,1.858366
00:37,390.38,387.49,2.89,1.877423
00:38,390.36,387.49,2.87,1.864431
00:39,390.48,387.49,2.99,1.942386
00:40,390.46,387.4,3.06,1.988322
00:41,390.46,387.5,2.96,1.922848
00:42,390.32,387.5,2.82,1.831902
00:43,390.3,387.45,2.85,1.851629
00:44,390.42,387.35,3.07,1.995077
00:45,390.38,387.59,2.79,1.811993
00:46,390.42,387.59,2.83,1.837971
00:47,390.46,387.44,3.02,1.962128
00:48,390.48,387.44,3.04,1.975122
00:49,390.42,387.44,2.98,1.93614
00:50,390.4,387.44,2.96,1.923145
00:51,390.44,387.43,3.01,1.955681
00:52,390.48,387.43,3.05,1.981671
00:53,390.38,387.43,2.95,1.916698
00:54,390.32,387.43,2.89,1.877714
00:55,390.38,387.4,2.98,1.93634
00:56,390.58,387.59,2.99,1.941885
00:57,390.48,387.59,2.89,1.876939
00:58,390.48,387.59,2.89,1.876939
00:59,390.46,387.59,2.87,1.86395
01:00,390.42,387.59,2.83,1.837971
01:01,390.4,387.59,2.81,1.824982
01:02,390.4,387.59,2.81,1.824982
01:03,390.48,387.59,2.89,1.876939
01:04,390.36,387.59,2.77,1.799004
01:05,390.42,387.59,2.83,1.837971
01:06,390.44,387.59,2.85,1.850961
01:07,390.48,387.59,2.89,1.876939
01:08,390.36,387.45,2.91,1.890611
01:09,390.38,387.5,2.88,1.870879
01:10,390.46,387.5,2.96,1.922848
01:11,390.42,387.6,2.82,1.831429
01:12,390.4,387.55,2.85,1.851152
01:13,390.28,387.33,2.95,1.917193
01:14,390.36,387.35,3.01,1.956085
01:15,390.36,387.32,3.04,1.975734
01:16,390.38,387.48,2.9,1.883968
01:17,390.44,387.6,2.84,1.844418
01:18,390.44,387.5,2.94,1.909855
01:19,390.44,387.51,2.93,1.90331
01:20,390.46,387.64,2.82,1.831241
01:21,390.54,387.7,2.84,1.843943
01:22,390.48,387.58,2.9,1.883482
01:23,390.5,387.55,2.95,1.916104
01:24,390.54,387.55,2.99,1.942085
01:25,390.54,387.65,2.89,1.876648
01:26,390.44,387.65,2.79,1.811712
01:27,390.5,387.66,2.84,1.844133
01:28,390.48,387.66,2.82,1.831146
01:29,390.42,387.52,2.9,1.883774
01:30,390.42,387.52,2.9,1.883774
01:31,390.48,387.47,3.01,1.95548
01:32,390.5,387.47,3.03,1.968473
01:33,390.48,387.47,3.01,1.95548
01:34,390.58,387.62,2.96,1.922252
01:35,390.56,387.62,2.94,1.909264
01:36,390.54,387.62,2.92,1.896276
01:37,390.54,387.6,2.94,1.909363
01:38,390.62,387.79,2.83,1.837023
01:39,390.76,387.79,2.97,1.927901
01:40,390.76,387.8,2.96,1.92136
01:41,390.74,387.8,2.94,1.908378
01:42,390.66,387.8,2.86,1.856449
01:43,390.68,387.8,2.88,1.869431
01:44,390.66,387.8,2.86,1.856449
01:45,390.64,387.8,2.84,1.843467
01:46,390.66,387.8,2.86,1.856449
01:47,390.8,387.8,3.0,1.947324
01:48,390.76,387.8,2.96,1.92136
01:49,390.72,387.8,2.92,1.895396
01:50,390.74,387.8,2.94,1.908378
01:51,390.7,387.8,2.9,1.882414
01:52,390.74,387.8,2.94,1.908378
01:53,390.72,387.8,2.92,1.895396
01:54,390.72,387.8,2.92,1.895396
01:55,390.7,387.8,2.9,1.882414
01:56,390.7,387.8,2.9,1.882414
01:57,390.72,387.8,2.92,1.895396
01:58,390.76,387.8,2.96,1.92136
01:59,390.78,387.8,2.98,1.934342
02:00,390.78,387.85,2.93,1.901642
02:01,390.82,387.85,2.97,1.927603
02:02,390.82,387.99,2.83,1.836076
02:03,390.84,387.99,2.85,1.849052
02:04,390.82,387.99,2.83,1.836076
02:05,390.9,387.99,2.91,1.88798
02:06,390.94,387.99,2.95,1.913931
02:07,390.92,387.99,2.93,1.900955
02:08,391.0,388.0,3.0,1.946321
02:09,391.0,388.1,2.9,1.880959
02:10,390.98,388.1,2.88,1.867986
02:11,390.92,388.01,2.91,1.887882
02:12,390.9,388.01,2.89,1.874907
02:13,390.82,388.01,2.81,1.823007
02:14,390.84,388.01,2.83,1.835982
02:15,390.68,388.01,2.67,1.732181
02:16,390.76,387.8,2.96,1.92136
02:17,390.86,387.8,3.06,1.986271
02:18,390.9,387.8,3.1,2.012235
02:19,390.9,387.8,3.1,2.012235
02:20,390.98,387.8,3.18,2.064164
02:21,391.02,388.05,2.97,1.926609
02:22,390.9,387.95,2.95,1.914129
02:23,390.88,387.95,2.93,1.901151
02:24,390.94,388.0,2.94,1.907394
02:25,390.82,387.95,2.87,1.86222
02:26,390.72,387.76,2.96,1.921558
02:27,390.86,387.81,3.05,1.979729
02:28,390.76,387.83,2.93,1.90174
02:29,390.7,388.2,2.5,1.621098
02:30,390.7,388.2,2.5,1.621098
09:00,390.7,387.9,2.8,1.817034
09:01,390.64,387.75,2.89,1.876164
09:02,390.64,387.9,2.74,1.778098
09:03,390.72,387.77,2.95,1.915017
09:04,390.36,387.51,2.85,1.851343
09:05,390.54,387.7,2.84,1.843943
09:06,390.66,387.74,2.92,1.895689
09:07,390.66,387.76,2.9,1.882608
09:08,390.7,387.8,2.9,1.882414
09:09,390.74,387.73,3.01,1.954168
09:10,390.78,387.85,2.93,1.901642
09:11,390.82,387.95,2.87,1.86222
09:12,391.1,388.11,2.99,1.939283
09:13,391.1,388.19,2.91,1.887007
09:14,391.1,388.06,3.04,1.971967
09:15,391.02,388.1,2.92,1.893931
09:16,390.9,388.05,2.85,1.848766
09:17,390.86,387.85,3.01,1.953564
09:18,390.98,388.01,2.97,1.926808
09:19,390.96,388.09,2.87,1.861548
09:20,391.1,388.15,2.95,1.913142
09:21,391.16,388.19,2.97,1.925914
09:22,391.06,388.13,2.93,1.90027
09:23,391.14,388.13,3.01,1.952154
09:24,390.98,388.06,2.92,1.894126
09:25,390.94,388.0,2.94,1.907394
09:26,391.1,388.18,2.92,1.89354
09:27,391.22,388.24,2.98,1.93215
09:28,391.18,388.24,2.94,1.906215
09:29,391.16,388.17,2.99,1.938983
09:30,391.06,388.05,3.01,1.952557
09:31,391.14,388.3,2.84,1.841093
09:32,391.24,388.11,3.13,2.030086
09:33,391.3,388.17,3.13,2.029772
09:34,391.26,388.26,3.0,1.945017
09:35,391.36,388.3,3.06,1.983713
09:36,391.28,388.39,2.89,1.873073
09:37,391.32,388.26,3.06,1.983918
09:38,391.4,388.31,3.09,2.00311
09:39,391.38,388.4,2.98,1.931354
09:40,391.32,388.4,2.92,1.892468
09:41,391.36,388.32,3.04,1.970646
09:42,391.36,388.4,2.96,1.918392
09:43,391.42,388.33,3.09,2.003007
09:44,391.3,388.3,3.0,1.944817
09:45,391.22,388.3,2.92,1.892955
09:46,391.18,388.2,2.98,1.932349
09:47,391.16,388.2,2.96,1.91938
09:48,391.14,388.2,2.94,1.906412
09:49,391.06,388.2,2.86,1.854536
09:50,390.98,388.15,2.83,1.83532
09:51,390.94,388.1,2.84,1.842042
09:52,390.98,388.0,2.98,1.933345
09:53,390.9,388.0,2.9,1.881443
09:54,390.72,387.67,3.05,1.980444
09:55,390.72,387.8,2.92,1.895396
09:56,390.82,387.89,2.93,1.901446
09:57,390.88,388.0,2.88,1.868468
09:58,390.84,388.0,2.84,1.842517
09:59,390.84,387.8,3.04,1.973289
10:00,390.86,387.98,2.88,1.868564
10:01,390.98,387.95,3.03,1.966037
10:02,390.9,388.0,2.9,1.881443
10:03,391.02,388.0,3.02,1.959296
10:04,391.12,388.15,2.97,1.926113
10:05,391.08,388.15,2.93,1.900172
10:06,391.12,388.05,3.07,1.991478
10:07,390.98,388.05,2.93,1.900662
10:08,391.0,388.05,2.95,1.913635
10:09,390.94,387.96,2.98,1.933545
10:10,391.02,388.05,2.97,1.926609
10:11,391.0,388.05,2.95,1.913635
10:12,390.94,387.96,2.98,1.933545
10:13,391.0,388.03,2.97,1.926708
10:14,390.96,388.2,2.76,1.789692
10:15,390.96,388.2,2.76,1.789692
10:16,,388.0,,
10:17,,387.95,,
10:18,,387.9,,
10:19,,387.9,,
10:20,,387.9,,
10:21,,387.95,,
10:22,,387.89,,
10:23,,387.94,,
10:24,,387.94,,
10:25,,388.04,,
10:26,,388.04,,
10:27,,388.04,,
10:28,,388.04,,
10:29,,388.04,,
10:30,390.96,388.04,2.92,1.894223
10:31,390.82,387.9,2.92,1.894907
10:32,390.82,387.95,2.87,1.86222
10:33,390.88,387.95,2.93,1.901151
10:34,390.9,387.95,2.95,1.914129
10:35,390.74,387.8,2.94,1.908378
10:36,390.78,387.8,2.98,1.934342
10:37,390.62,387.71,2.91,1.889343
10:38,390.5,387.6,2.9,1.883385
10:39,390.58,387.64,2.94,1.909166
10:40,390.66,387.8,2.86,1.856449
10:41,390.72,387.65,3.07,1.993533
10:42,390.76,387.81,2.95,1.91482
10:43,390.7,387.75,2.95,1.915116
10:44,390.68,387.75,2.93,1.902132
10:45,390.7,387.7,3.0,1.947827
10:46,390.66,387.7,2.96,1.921856
10:47,390.64,387.7,2.94,1.90887
10:48,390.6,387.65,2.95,1.91561
10:49,390.54,387.65,2.89,1.876648
10:50,390.54,387.7,2.84,1.843943
10:51,390.36,387.5,2.86,1.857887
10:52,390.5,387.55,2.95,1.916104
10:53,390.5,387.55,2.95,1.916104
10:54,390.46,387.57,2.89,1.877036
10:55,390.5,387.57,2.93,1.903016
10:56,390.44,387.55,2.89,1.877133
10:57,390.44,387.55,2.89,1.877133
10:58,390.24,387.3,2.94,1.910842
10:59,390.16,387.3,2.86,1.858846
11:00,390.18,387.36,2.82,1.832564
11:01,390.3,387.43,2.87,1.864719
11:02,390.34,387.29,3.05,1.982387
11:03,390.34,387.4,2.94,1.910348
11:04,390.34,387.41,2.93,1.903801
11:05,390.24,387.28,2.96,1.92394
11:06,390.32,387.28,3.04,1.975938
11:07,390.26,387.43,2.83,1.83873
11:08,390.1,387.35,2.75,1.787121
11:09,390.26,387.43,2.83,1.83873
11:10,390.16,387.43,2.73,1.773758
11:11,390.24,387.39,2.85,1.851916
11:12,390.18,387.38,2.8,1.819473
11:13,390.22,387.34,2.88,1.871652
11:14,390.16,387.25,2.91,1.891587
11:15,390.18,387.25,2.93,1.904588
11:16,390.2,387.28,2.92,1.897941
11:17,390.12,387.21,2.91,1.891783
11:18,390.18,387.12,3.06,1.98976
11:19,390.22,387.23,2.99,1.94369
11:20,390.56,387.5,3.06,1.987809
11:21,390.54,387.58,2.96,1.922451
11:22,390.5,387.5,3.0,1.948832
11:23,390.62,387.6,3.02,1.961318
11:24,390.54,387.6,2.94,1.909363
11:25,390.62,,,
11:26,390.62,,,
