times,future,Au_TD,diff,ytm
20:00,,385.5,,
20:01,,385.57,,
20:02,,385.57,,
20:03,,385.67,,
20:04,,385.5,,
20:05,,385.42,,
20:06,,385.2,,
20:07,,385.28,,
20:08,,385.28,,
20:09,,385.3,,
20:10,,385.3,,
20:11,,385.3,,
20:12,,385.4,,
20:13,,385.46,,
20:14,,385.45,,
20:15,,385.4,,
20:16,,385.37,,
20:17,,385.31,,
20:18,,385.31,,
20:19,,385.3,,
20:20,,385.26,,
20:21,,385.37,,
20:22,,385.37,,
20:23,,385.4,,
20:24,,385.57,,
20:25,,385.47,,
20:26,,385.32,,
20:27,,385.47,,
20:28,,385.4,,
20:29,,385.5,,
20:30,,385.5,,
20:31,,385.5,,
20:32,,385.59,,
20:33,,385.6,,
20:34,,385.6,,
20:35,,385.6,,
20:36,,385.6,,
20:37,,385.9,,
20:38,,385.9,,
20:39,,385.89,,
20:40,,385.9,,
20:41,,385.86,,
20:42,,385.79,,
20:43,,385.79,,
20:44,,385.79,,
20:45,,385.79,,
20:46,,385.56,,
20:47,,385.53,,
20:48,,385.48,,
20:49,,385.31,,
20:50,,385.2,,
20:51,,385.07,,
20:52,,385.38,,
20:53,,385.22,,
20:54,,384.98,,
20:55,,384.9,,
20:56,,384.85,,
20:57,,384.55,,
20:58,,384.25,,
20:59,,384.5,,
21:00,386.86,383.96,2.9,1.888218
21:01,386.58,383.8,2.78,1.810839
21:02,386.5,383.7,2.8,1.824342
21:03,386.18,383.5,2.68,1.747066
21:04,385.9,383.12,2.78,1.814053
21:05,386.1,383.3,2.8,1.826246
21:06,386.1,383.45,2.65,1.727735
21:07,386.08,383.38,2.7,1.760655
21:08,385.98,383.26,2.72,1.774252
21:09,385.76,383.0,2.76,1.801567
21:10,385.62,382.91,2.71,1.769345
21:11,385.64,383.13,2.51,1.637825
21:12,385.7,383.04,2.66,1.736111
21:13,385.48,382.72,2.76,1.802885
21:14,385.36,382.7,2.66,1.737654
21:15,385.28,382.68,2.6,1.698547
21:16,385.6,382.84,2.76,1.80232
21:17,385.76,383.06,2.7,1.762126
21:18,385.88,383.16,2.72,1.774716
21:19,385.72,383.02,2.7,1.76231
21:20,385.9,383.2,2.7,1.761482
21:21,385.92,383.2,2.72,1.77453
21:22,385.86,383.17,2.69,1.755096
21:23,385.94,383.4,2.54,1.656234
