,future,Au_TD,diff,ytm
20:00,,396.88,,
20:01,,396.88,,
20:02,,396.98,,
20:03,,396.97,,
20:04,,396.98,,
20:05,,397.06,,
20:06,,396.9,,
20:07,,396.8,,
20:08,,396.88,,
20:09,,396.87,,
20:10,,396.91,,
20:11,,396.88,,
20:12,,396.7,,
20:13,,396.68,,
20:14,,396.55,,
20:15,,396.6,,
20:16,,396.51,,
20:17,,396.36,,
20:18,,396.16,,
20:19,,396.17,,
20:20,,396.31,,
20:21,,396.28,,
20:22,,396.24,,
20:23,,396.25,,
20:24,,396.11,,
20:25,,395.93,,
20:26,,396.1,,
20:27,,396.14,,
20:28,,396.1,,
20:29,,396.3,,
20:30,,396.34,,
20:31,,396.25,,
20:32,,396.3,,
20:33,,396.44,,
20:34,,396.58,,
20:35,,396.68,,
20:36,,396.72,,
20:37,,396.7,,
20:38,,396.7,,
20:39,,396.7,,
20:40,,396.7,,
20:41,,396.7,,
20:42,,396.7,,
20:43,,396.76,,
20:44,,396.75,,
20:45,,396.8,,
20:46,,396.94,,
20:47,,396.93,,
20:48,,396.93,,
20:49,,396.93,,
20:50,,396.83,,
20:51,,396.7,,
20:52,,396.6,,
20:53,,396.6,,
20:54,,396.7,,
20:55,,396.74,,
20:56,,396.78,,
20:57,,396.83,,
20:58,,396.83,,
20:59,,396.79,,
21:00,400.62,396.65,3.97,2.297623
21:01,400.82,397.01,3.81,2.203024
21:02,400.7,396.96,3.74,2.162821
21:03,400.54,396.78,3.76,2.175373
21:04,400.34,396.58,3.76,2.17647
21:05,400.44,396.52,3.92,2.26943
21:06,400.34,396.53,3.81,2.205691
21:07,400.08,396.3,3.78,2.189593
21:08,400.14,396.37,3.77,2.183415
21:09,400.16,396.52,3.64,2.107327
21:10,400.22,396.52,3.7,2.142064
21:11,400.08,396.43,3.65,2.113597
21:12,400.16,396.42,3.74,2.165767
21:13,400.24,396.47,3.77,2.182864
21:14,400.44,396.7,3.74,2.164239
21:15,400.48,396.79,3.69,2.134821
21:16,400.54,396.88,3.66,2.116984
21:17,400.5,396.8,3.7,2.140552
21:18,400.58,396.88,3.7,2.140121
21:19,400.72,396.88,3.84,2.221098
21:20,400.68,396.87,3.81,2.203801
21:21,400.54,396.7,3.84,2.222106
21:22,400.52,396.7,3.82,2.210532
21:23,400.46,396.7,3.76,2.175812
21:24,400.58,396.64,3.94,2.280318
21:25,400.76,396.91,3.85,2.226714
21:26,400.74,396.9,3.84,2.220986
21:27,400.64,396.9,3.74,2.163148
21:28,400.62,396.9,3.72,2.15158
21:29,400.72,396.95,3.77,2.180225
21:30,400.66,396.82,3.84,2.221434
21:31,400.62,396.82,3.8,2.198294
21:32,400.7,396.82,3.88,2.244574
21:33,400.6,396.76,3.84,2.22177
21:34,400.44,396.64,3.8,2.199292
21:35,400.52,396.58,3.94,2.280663
21:36,400.66,396.83,3.83,2.215593
21:37,400.48,396.69,3.79,2.193228
21:38,400.38,396.5,3.88,2.246385
21:39,400.48,396.66,3.82,2.210755
21:40,400.32,396.66,3.66,2.118158
21:41,400.34,396.66,3.68,2.129733
21:42,400.18,396.4,3.78,2.189041
21:43,400.2,396.4,3.8,2.200623
21:44,400.26,396.35,3.91,2.264611
21:45,400.04,396.3,3.74,2.166423
21:46,399.58,395.8,3.78,2.192359
21:47,399.66,395.96,3.7,2.145093
21:48,399.5,395.7,3.8,2.204516
21:49,399.32,395.6,3.72,2.158651
21:50,399.26,395.58,3.68,2.135547
21:51,399.32,395.56,3.76,2.182083
21:52,399.46,395.74,3.72,2.157887
21:53,399.36,395.68,3.68,2.135008
21:54,399.52,395.85,3.67,2.128292
21:55,399.44,395.8,3.64,2.111161
21:56,399.56,395.82,3.74,2.16905
21:57,399.62,395.98,3.64,2.110201
21:58,399.66,395.98,3.68,2.13339
21:59,399.7,395.84,3.86,2.238532
22:00,399.7,395.84,3.86,2.238532
22:01,399.76,396.06,3.7,2.144552
22:02,399.9,396.08,3.82,2.213993
22:03,399.88,396.23,3.65,2.114663
22:04,400.1,396.45,3.65,2.11349
22:05,400.06,396.35,3.71,2.148774
22:06,400.04,396.44,3.6,2.084591
22:07,400.02,396.3,3.72,2.154838
22:08,399.94,396.4,3.54,2.050054
22:09,400.04,396.3,3.74,2.166423
22:10,400.06,396.3,3.76,2.178008
22:11,399.98,396.17,3.81,2.207695
22:12,399.96,396.18,3.78,2.190257
22:13,399.92,396.13,3.79,2.196328
22:14,400.08,396.3,3.78,2.189593
22:15,400.16,396.35,3.81,2.206693
22:16,400.38,396.5,3.88,2.246385
22:17,400.18,396.34,3.84,2.224124
22:18,400.22,396.39,3.83,2.218053
22:19,400.18,396.35,3.83,2.218276
22:20,400.1,396.29,3.81,2.207027
22:21,400.28,396.36,3.92,2.270346
22:22,400.96,397.1,3.86,2.231429
22:23,400.96,397.11,3.85,2.225592
22:24,400.8,396.88,3.92,2.267371
22:25,400.6,396.81,3.79,2.192564
22:26,400.6,396.62,3.98,2.303585
22:27,400.36,396.57,3.79,2.193891
22:28,400.46,396.59,3.87,2.240087
22:29,400.4,396.55,3.85,2.228735
22:30,400.72,396.83,3.89,2.250302
22:31,400.7,396.81,3.89,2.250416
22:32,400.7,396.95,3.75,2.168659
22:33,400.8,396.9,3.9,2.255689
22:34,400.54,396.67,3.87,2.239636
22:35,400.0,396.05,3.95,2.289511
22:36,399.78,395.96,3.82,2.214664
22:37,399.58,395.83,3.75,2.174795
22:38,399.56,395.77,3.79,2.198326
22:39,399.3,395.62,3.68,2.135332
22:40,399.42,395.76,3.66,2.122975
22:41,399.72,396.05,3.67,2.127217
22:42,399.68,395.95,3.73,2.16254
22:43,398.98,395.38,3.6,2.090179
22:44,398.98,395.29,3.69,2.142922
22:45,399.1,395.54,3.56,2.066119
22:46,399.26,395.73,3.53,2.047724
22:47,399.62,395.99,3.63,2.104351
22:48,399.88,396.19,3.69,2.138054
22:49,399.9,396.18,3.72,2.155491
22:50,400.08,396.41,3.67,2.125285
