,future,Au_TD,diff,ytm
22:51,400.0,396.26,3.74,2.166642
22:52,399.96,396.14,3.82,2.213657
22:53,399.84,396.15,3.69,2.13827
22:54,399.88,396.3,3.58,2.073742
22:55,399.44,395.88,3.56,2.064345
22:56,399.5,395.95,3.55,2.058182
22:57,399.5,395.75,3.75,2.175235
22:58,399.48,395.95,3.53,2.046586
22:59,399.24,395.61,3.63,2.106372
23:00,399.96,396.35,3.61,2.090856
23:01,400.14,396.59,3.55,2.05486
23:02,400.3,396.66,3.64,2.106584
23:03,400.42,396.69,3.73,2.158506
23:04,400.54,396.86,3.68,2.12866
23:05,400.22,396.58,3.64,2.107009
23:06,400.36,396.86,3.5,2.02454
23:07,400.4,396.98,3.42,1.977667
23:08,400.22,396.69,3.53,2.042769
23:09,400.5,396.78,3.72,2.152231
23:10,400.46,396.78,3.68,2.129089
23:11,400.4,396.72,3.68,2.129411
23:12,400.32,396.6,3.72,2.153208
23:13,400.18,396.64,3.54,2.048814
23:14,400.12,396.32,3.8,2.201067
23:15,400.26,396.76,3.5,2.025051
23:16,400.58,396.78,3.8,2.198516
23:17,400.28,396.51,3.77,2.182644
23:18,400.16,396.47,3.69,2.136544
23:19,399.96,396.3,3.66,2.120082
23:20,399.98,396.35,3.63,2.102439
23:21,400.0,396.3,3.7,2.143253
23:22,400.12,396.3,3.82,2.212764
23:23,400.24,396.3,3.94,2.282275
23:24,400.06,396.4,3.66,2.119548
23:25,400.02,396.33,3.69,2.137298
23:26,400.1,396.3,3.8,2.201179
23:27,400.14,396.31,3.83,2.2185
23:28,400.08,396.35,3.73,2.160358
23:29,400.06,396.35,3.71,2.148774
23:30,400.04,396.37,3.67,2.1255
23:31,399.96,396.31,3.65,2.114237
23:32,399.96,396.25,3.71,2.149317
23:33,400.1,396.31,3.79,2.195331
23:34,399.98,396.3,3.68,2.131668
23:35,400.16,396.35,3.81,2.206693
23:36,400.24,396.35,3.89,2.253027
23:37,400.2,396.54,3.66,2.118799
23:38,400.36,396.9,3.46,2.001201
23:39,400.26,396.57,3.69,2.136005
23:40,400.18,396.6,3.58,2.072173
23:41,400.4,396.65,3.75,2.170299
23:42,400.24,396.56,3.68,2.13027
23:43,400.26,396.56,3.7,2.141848
23:44,400.38,396.64,3.74,2.164566
23:45,400.46,396.55,3.91,2.263469
23:46,400.44,396.55,3.89,2.251891
23:47,400.4,396.74,3.66,2.117731
23:48,400.28,396.63,3.65,2.112531
23:49,400.5,396.78,3.72,2.152231
23:50,400.48,396.75,3.73,2.15818
23:51,400.34,396.71,3.63,2.100532
23:52,400.24,396.62,3.62,2.09522
23:53,400.3,396.53,3.77,2.182534
23:54,400.32,396.53,3.79,2.194113
23:55,400.32,396.53,3.79,2.194113
23:56,400.26,396.53,3.73,2.159377
23:57,400.22,396.53,3.69,2.13622
23:58,400.32,396.53,3.79,2.194113
23:59,400.3,396.53,3.77,2.182534
00:00,400.34,396.53,3.81,2.205691
00:01,400.46,396.76,3.7,2.140768
00:02,400.44,396.75,3.69,2.135036
00:03,400.48,396.75,3.73,2.15818
00:04,400.38,396.9,3.48,2.012769
00:05,400.76,397.0,3.76,2.174168
00:06,400.78,397.2,3.58,2.069043
00:07,400.88,397.25,3.63,2.097676
00:08,400.88,397.28,3.6,2.080183
00:09,400.88,397.17,3.71,2.144338
00:10,400.88,397.2,3.68,2.126838
00:11,400.74,397.15,3.59,2.075084
00:12,400.82,397.08,3.74,2.162167
00:13,400.78,397.08,3.7,2.139043
00:14,400.78,397.08,3.7,2.139043
00:15,400.84,397.15,3.69,2.132885
00:16,400.6,396.92,3.68,2.128338
00:17,400.48,397.0,3.48,2.012262
00:18,400.62,396.86,3.76,2.174935
00:19,400.6,397.0,3.6,2.08165
00:20,400.46,396.89,3.57,2.064875
00:21,400.3,396.6,3.7,2.141632
00:22,400.34,396.61,3.73,2.158942
00:23,400.34,396.83,3.51,2.030478
00:24,400.34,396.85,3.49,2.018807
00:25,400.3,396.85,3.45,1.995669
00:26,400.4,396.88,3.52,2.036007
00:27,400.34,396.88,3.46,2.001302
00:28,400.22,396.75,3.47,2.007744
00:29,400.4,396.75,3.65,2.111892
00:30,400.36,396.75,3.61,2.088748
00:31,400.34,396.65,3.69,2.135574
00:32,400.46,396.65,3.81,2.205024
00:33,400.34,396.86,3.48,2.012972
00:34,400.26,396.65,3.61,2.089274
00:35,400.36,396.95,3.41,1.972034
00:36,400.3,396.75,3.55,2.054032
00:37,400.14,396.61,3.53,2.043181
00:38,400.06,396.51,3.55,2.055275
00:39,400.1,396.5,3.6,2.084275
00:40,400.14,396.5,3.64,2.107434
00:41,400.08,396.5,3.58,2.072696
00:42,400.22,396.5,3.72,2.153751
00:43,400.26,396.5,3.76,2.17691
00:44,400.28,396.75,3.53,2.04246
00:45,400.34,396.75,3.59,2.077176
00:46,400.26,396.75,3.51,2.030888
00:47,400.28,396.75,3.53,2.04246
00:48,400.16,396.75,3.41,1.973028
00:49,400.26,396.75,3.51,2.030888
00:50,400.26,396.75,3.51,2.030888
00:51,400.28,396.75,3.53,2.04246
00:52,400.38,396.75,3.63,2.10032
00:53,400.46,396.74,3.72,2.152448
00:54,400.38,396.74,3.64,2.106159
00:55,400.3,396.74,3.56,2.05987
00:56,400.24,,,
