,listed_day,delivery_day,volume,position,tradedate
AU2106,20200518,20210616,87343,93587,2021-01-07
AU2110,20200916,20211018,3310,4216,2021-01-07
AU2104,20200317,20210416,33333,37687,2021-01-07
AU2102,20200116,20210208,144477,33912,2021-01-07
AU2103,20201216,20210316,19,33,2021-01-07
AU2108,20200716,20210817,10700,17696,2021-01-07
AU2112,20201117,20211216,62,132,2021-01-07
AU2101,20201016,20210118,,,
