symbol,listed_day,delivery_day,volume,position,tradedate
AU2106,20200518,20210616,31157,89463,2020-12-31
AU2102,20200116,20210208,85987,38747,2020-12-31
AU2104,20200317,20210416,19884,38080,2020-12-31
AU2103,20201216,20210316,6,27,2020-12-31
AU2108,20200716,20210817,4418,21906,2020-12-31
AU2110,20200916,20211018,311,1628,2020-12-31
AU2101,20201016,20210118,10,13,2020-12-31
AU2112,20201117,20211216,14,118,2020-12-31
