,listed_day,delivery_day,volume,position,tradedate
AU2106,20200518,20210616,71574,100627.0,2021-01-12
AU2104,20200317,20210416,25754,30612.0,2021-01-12
AU2102,20200116,20210208,85185,24386.0,2021-01-12
AU2108,20200716,20210817,12597,13924.0,2021-01-12
AU2110,20200916,20211018,3117,6633.0,2021-01-12
AU2112,20201117,20211216,88,284.0,2021-01-12
AU2103,20201216,20210316,32,50.0,2021-01-12
