symbol,listed_day,delivery_day,volume,position,tradedate
AU2106,20200518,20210616,131706,114356.0,2021-01-18
AU2104,20200317,20210416,27489,27450.0,2021-01-18
AU2102,20200116,20210208,46329,18413.0,2021-01-18
AU2108,20200716,20210817,12542,12285.0,2021-01-18
AU2110,20200916,20211018,7506,8528.0,2021-01-18
AU2112,20201117,20211216,77,331.0,2021-01-18
AU2103,20201216,20210316,91,88.0,2021-01-18
