symbol,listed_day,delivery_day,volume,position,tradedate
AU2106,20200518,20210616,98757,114471.0,2021-01-18
AU2104,20200317,20210416,20115,27698.0,2021-01-18
AU2102,20200116,20210208,35600,18706.0,2021-01-18
AU2108,20200716,20210817,8507,11773.0,2021-01-18
AU2110,20200916,20211018,4992,8535.0,2021-01-18
AU2112,20201117,20211216,34,314.0,2021-01-18
AU2103,20201216,20210316,84,88.0,2021-01-18
