,listed_day,delivery_day,volume,position,tradedate
AU2106,20200518,20210616,4187,103662.0,2021-01-14
AU2104,20200317,20210416,2148,28811.0,2021-01-14
AU2102,20200116,20210208,3446,20426.0,2021-01-14
AU2108,20200716,20210817,264,13581.0,2021-01-14
AU2110,20200916,20211018,18,7109.0,2021-01-14
AU2112,20201117,20211216,1,295.0,2021-01-14
AU2103,20201216,20210316,9,48.0,2021-01-14
