,listed_day,delivery_day,volume,position,tradedate
AU2106,20200518,20210616,67055,107118.0,2021-01-14
AU2104,20200317,20210416,26637,29314.0,2021-01-14
AU2102,20200116,20210208,62634,20030.0,2021-01-14
AU2108,20200716,20210817,11616,13363.0,2021-01-14
AU2110,20200916,20211018,3462,7464.0,2021-01-14
AU2112,20201117,20211216,55,306.0,2021-01-14
AU2103,20201216,20210316,45,47.0,2021-01-14
