,listed_day,delivery_day,volume,position,tradedate
AU2106,20200518,20210616,2460,92512,2021-01-06
AU2102,20200116,20210208,3207,39403,2021-01-06
AU2104,20200317,20210416,385,38121,2021-01-06
AU2110,20200916,20211018,8,2260,2021-01-06
AU2108,20200716,20210817,80,20572,2021-01-06
AU2103,20201216,20210316,2,19,2021-01-06
AU2112,20201117,20211216,30,125,2021-01-05
AU2101,20201016,20210118,,,
