,listed_day,delivery_day,volume,position,tradedate
AU2106,20200518,20210616,27386,103440.0,2021-01-13
AU2104,20200317,20210416,9041,30352.0,2021-01-13
AU2102,20200116,20210208,30302,22795.0,2021-01-13
AU2108,20200716,20210817,3119,13764.0,2021-01-13
AU2110,20200916,20211018,1702,6710.0,2021-01-13
AU2112,20201117,20211216,11,287.0,2021-01-13
AU2103,20201216,20210316,8,48.0,2021-01-13
