,listed_day,delivery_day,volume,position,tradedate
AU2106,20200518,20210616,36316,91473,2021-01-05
AU2102,20200116,20210208,68227,40785,2021-01-05
AU2104,20200317,20210416,24826,38277,2021-01-05
AU2110,20200916,20211018,853,2124,2021-01-05
AU2108,20200716,20210817,5865,20953,2021-01-05
AU2103,20201216,20210316,27,18,2021-01-05
AU2112,20201117,20211216,18,121,2021-01-05
AU2101,20201016,20210118,,,
