,listed_day,delivery_day,volume,position,tradedate
AU2106,20200518,20210616,1160,92565,2021-01-07
AU2104,20200317,20210416,165,37933,2021-01-07
AU2102,20200116,20210208,1371,37424,2021-01-07
AU2110,20200916,20211018,1,3588,2021-01-07
AU2103,20201216,20210316,1,23,2021-01-07
AU2108,20200716,20210817,19,18810,2021-01-07
AU2112,20201117,20211216,2,129,2021-01-07
AU2101,20201016,20210118,,,
