symbol,listed_day,delivery_day,volume,position,tradedate
AU2106,20200518,20210616,78054,113831.0,2021-01-18
AU2104,20200317,20210416,15490,27782.0,2021-01-18
AU2102,20200116,20210208,28307,18497.0,2021-01-18
AU2108,20200716,20210817,5853,11466.0,2021-01-18
AU2110,20200916,20211018,3534,8539.0,2021-01-18
AU2112,20201117,20211216,13,312.0,2021-01-18
AU2103,20201216,20210316,61,89.0,2021-01-18
