symbol,listed_day,delivery_day,volume,position,tradedate
AU2106,20200518,20210616,70338,117548.0,2021-01-19
AU2104,20200317,20210416,11343,28120.0,2021-01-19
AU2102,20200116,20210208,15961,16642.0,2021-01-19
AU2108,20200716,20210817,4434,12396.0,2021-01-19
AU2110,20200916,20211018,3482,9044.0,2021-01-19
AU2112,20201117,20211216,89,329.0,2021-01-19
AU2103,20201216,20210316,17,83.0,2021-01-19
