symbol,listed_day,delivery_day,volume,position,tradedate
AU2106,20200518,20210616,93863,120653.0,2021-01-20
AU2104,20200317,20210416,18145,29056.0,2021-01-20
AU2102,20200116,20210208,24271,14762.0,2021-01-20
AU2108,20200716,20210817,8928,13305.0,2021-01-20
AU2110,20200916,20211018,5077,9990.0,2021-01-20
AU2112,20201117,20211216,114,370.0,2021-01-20
AU2103,20201216,20210316,59,87.0,2021-01-20
