,listed_day,delivery_day,volume,position,tradedate
AU2106,20200518,20210616,56931,95527,2021-01-11
AU2110,20200916,20211018,146,5982,2021-01-11
AU2103,20201216,20210316,21,41,2021-01-11
AU2104,20200317,20210416,13067,34084,2021-01-11
AU2102,20200116,20210208,76075,31116,2021-01-11
AU2112,20201117,20211216,71,195,2021-01-11
AU2108,20200716,20210817,5139,16139,2021-01-11
