symbol,listed_day,delivery_day,volume,position,tradedate
AU2106,20200518,20210616,147688,123284.0,2021-01-21
AU2104,20200317,20210416,16526,29149.0,2021-01-21
AU2108,20200716,20210817,7321,14341.0,2021-01-21
AU2102,20200116,20210208,32774,13790.0,2021-01-21
AU2110,20200916,20211018,3820,10781.0,2021-01-21
AU2112,20201117,20211216,105,390.0,2021-01-21
AU2103,20201216,20210316,39,77.0,2021-01-21
AU2202,20210118,20220216,1,1.0,2021-01-21
