,future,Au_TD,diff,ytm
20:00,,387.26,,
20:01,,387.45,,
20:02,,387.13,,
20:03,,387.02,,
20:04,,387.2,,
20:05,,387.25,,
20:06,,387.14,,
20:07,,387.06,,
20:08,,387.05,,
20:09,,387.07,,
20:10,,387.07,,
20:11,,387.07,,
20:12,,387.2,,
20:13,,387.11,,
20:14,,387.05,,
20:15,,387.06,,
20:16,,386.93,,
20:17,,386.9,,
20:18,,386.8,,
20:19,,386.81,,
20:20,,387.05,,
20:21,,387.1,,
20:22,,387.1,,
20:23,,387.1,,
20:24,,387.1,,
20:25,,387.1,,
20:26,,387.1,,
20:27,,387.1,,
20:28,,387.5,,
20:29,,387.5,,
20:30,,387.5,,
20:31,,387.5,,
20:32,,387.5,,
20:33,,387.5,,
20:34,,387.5,,
20:35,,387.55,,
20:36,,387.55,,
20:37,,387.55,,
20:38,,387.51,,
20:39,,387.51,,
20:40,,387.51,,
20:41,,387.51,,
20:42,,387.51,,
20:43,,387.51,,
20:44,,387.51,,
20:45,,387.51,,
20:46,,387.51,,
20:47,,387.51,,
20:48,,387.51,,
20:49,,387.51,,
20:50,,387.51,,
20:51,,387.51,,
20:52,,387.51,,
20:53,,387.51,,
20:54,,387.51,,
20:55,,387.51,,
20:56,,387.51,,
20:57,,387.51,,
20:58,,387.51,,
20:59,,387.4,,
21:00,389.6,387.4,2.2,1.345969
21:01,389.44,387.4,2.04,1.248081
21:02,389.26,387.4,1.86,1.137956
21:03,389.24,387.4,1.84,1.12572
21:04,389.06,387.4,1.66,1.015595
21:05,389.24,386.84,2.4,1.470456
21:06,389.2,386.84,2.36,1.445948
21:07,389.28,386.83,2.45,1.501129
21:08,389.34,386.97,2.37,1.451587
21:09,389.42,387.0,2.42,1.482097
21:10,389.36,386.94,2.42,1.482327
21:11,389.42,387.0,2.42,1.482097
21:12,389.3,386.98,2.32,1.420926
21:13,389.26,386.84,2.42,1.48271
21:14,389.36,386.85,2.51,1.537812
21:15,389.36,386.93,2.43,1.48849
21:16,389.48,386.94,2.54,1.55583
21:17,388.98,386.5,2.48,1.520808
21:18,388.84,386.4,2.44,1.496666
21:19,388.9,386.42,2.48,1.521123
21:20,388.7,386.3,2.4,1.472511
21:21,388.32,385.98,2.34,1.436889
21:22,388.1,385.77,2.33,1.431527
21:23,387.98,385.6,2.38,1.462891
21:24,387.46,385.27,2.19,1.347259
21:25,387.64,385.38,2.26,1.389925
21:26,387.42,385.24,2.18,1.341211
21:27,387.66,385.3,2.36,1.451728
21:28,387.7,385.29,2.41,1.482523
21:29,387.74,385.4,2.34,1.439051
21:30,387.88,385.55,2.33,1.432344
21:31,387.9,385.55,2.35,1.444639
21:32,387.78,385.45,2.33,1.432716
21:33,387.6,385.3,2.3,1.414819
21:34,387.4,385.03,2.37,1.458901
21:35,387.72,385.35,2.37,1.45769
21:36,387.74,385.47,2.27,1.395749
21:37,387.44,385.17,2.27,1.396836
21:38,387.74,385.31,2.43,1.494749
21:39,387.64,385.4,2.24,1.377553
21:40,387.58,385.31,2.27,1.396329
21:41,386.86,384.6,2.26,1.392744
21:42,387.08,384.64,2.44,1.503514
21:43,386.9,384.67,2.23,1.374006
21:44,387.04,384.7,2.34,1.44167
21:45,387.16,384.9,2.26,1.391658
21:46,387.2,384.88,2.32,1.428679
21:47,387.2,385.0,2.2,1.35436
21:48,387.18,385.03,2.15,1.323476
21:49,387.24,385.09,2.15,1.32327
21:50,387.3,385.05,2.25,1.384961
21:51,387.26,384.91,2.35,1.447041
21:52,387.2,384.91,2.29,1.410095
21:53,386.88,384.76,2.12,1.305925
21:54,387.12,384.85,2.27,1.397998
21:55,387.02,384.8,2.22,1.367383
21:56,386.96,384.7,2.26,1.392382
21:57,386.9,384.66,2.24,1.380204
21:58,386.94,384.8,2.14,1.318108
21:59,387.0,384.75,2.25,1.386041
22:00,386.84,384.66,2.18,1.343234
22:01,387.18,384.95,2.23,1.373007
22:02,387.24,384.98,2.26,1.391369
22:03,386.92,384.64,2.28,1.404923
22:04,387.02,384.67,2.35,1.447944
22:05,387.0,384.64,2.36,1.454219
22:06,386.16,383.76,2.4,1.482258
22:07,386.7,384.5,2.2,1.356121
22:08,386.2,383.9,2.3,1.419979
22:09,386.4,384.24,2.16,1.332365
22:10,386.32,384.16,2.16,1.332643
22:11,386.22,384.07,2.15,1.326784
22:12,386.06,383.81,2.25,1.389435
22:13,386.14,383.85,2.29,1.413989
22:14,386.3,384.0,2.3,1.419609
22:15,386.42,384.25,2.17,1.338499
22:16,386.18,384.04,2.14,1.320716
22:17,386.42,384.0,2.42,1.493676
22:18,386.62,384.41,2.21,1.362604
22:19,386.62,384.31,2.31,1.424631
22:20,386.92,384.6,2.32,1.42972
22:21,386.88,384.64,2.24,1.380275
